001.png embedded 2750 570 2796 630  
001.png displayed 1183 1236 1582 1407 
001.png displayed 1899 1272 2208 1393 
001.png displayed 2404 1286 2693 1386 
001.png label 3006 1282 3120 1393 
001.png displayed 1186 1439 2151 1742 
001.png label 2996 1482 3120 1610 
001.png displayed 958 1738 1678 1849 
001.png displayed 2016 1753 2707 1842 
001.png label 2999 1763 3117 1859 
001.png displayed 1083 1870 1777 2041 
001.png displayed 2013 1899 2501 2037 
001.png label 3006 1923 3113 2030 
001.png label 1435 2094 1514 2176 
001.png embedded 2180 2265 2540 2422 
001.png displayed 1158 2465 2650 2625 
001.png label 1311 2689 1393 2771 
001.png embedded 1849 2696 2094 2764 
001.png embedded 2322 2711 2362 2757 
001.png embedded 716 2785 759 2850 
001.png embedded 1183 2778 1500 2853 
001.png embedded 2184 2785 2454 2850 
001.png embedded 2632 2785 2964 2850 
001.png label 873 2857 958 2935 
001.png embedded 1785 2853 1973 2939 
001.png embedded 2130 2867 2322 2928 
001.png embedded 841 3117 887 3174 
001.png displayed 873 3241 2835 3398 
001.png embedded 1222 3469 1403 3548 
001.png embedded 1713 3480 1888 3544 
001.png embedded 1257 3619 1304 3669 
001.png embedded 1678 3576 1859 3722 
001.png embedded 1923 3569 2127 3694 
001.png embedded 2184 3590 2404 3687 
001.png label 2379 3715 2461 3804 
001.png embedded 2176 4057 2582 4121 
001.png embedded 2447 4481 2625 4552 
001.png label 2949 4481 3021 4559 
001.png embedded 1047 4559 1208 4623 
001.png embedded 1393 4570 1567 4623 
001.png embedded 1649 4559 1831 4627 
002.png embedded 2333 584 2508 687
002.png embedded 762 695 933 794
002.png embedded 1888 698 2048 787
002.png embedded 2597 695 2768 780
002.png embedded 1856 794 2023 883
002.png embedded 634 1617 773 1696
002.png embedded 1596 1617 1731 1688
002.png displayed 1001 1731 1140 1809
002.png displayed 1261 1731 1539 1813
002.png displayed 1653 1731 1842 1809
002.png displayed 1952 1728 2233 1824
002.png embedded 947 1856 1051 1923
002.png embedded 2785 1849 2835 1916
002.png embedded 1133 2116 1407 2169
002.png displayed 930 2198 1432 2287
002.png displayed 1863 2191 2283 2283
002.png embedded 1806 2326 1970 2376
002.png embedded 2169 2315 2347 2387
002.png embedded 2540 2326 2704 2379
002.png embedded 1496 2397 1674 2461
002.png embedded 1948 2404 2233 2465
002.png embedded 837 2483 1090 2565
002.png embedded 1282 2490 1446 2558
002.png embedded 1639 2490 1891 2561
002.png embedded 2048 2479 2201 2554
002.png embedded 2476 2479 2835 2554
002.png displayed 566 2999 990 3206
002.png displayed 1667 3003 2212 3220
002.png displayed 2333 3046 2607 3159
002.png label 2696 3046 2871 3170
002.png displayed 570 3231 883 3416
002.png displayed 1667 3231 2205 3427
002.png label 2682 3259 2871 3398
002.png displayed 563 3452 1172 3637
002.png displayed 1656 3448 2187 3633
002.png label 2700 3477 2864 3598
002.png displayed 577 3669 1300 3851
002.png displayed 1660 3662 2308 3843
002.png label 2696 3694 2875 3818
002.png displayed 563 3879 1111 4071
002.png displayed 1642 3879 2273 4071
002.png label 2704 3908 2864 4014
002.png displayed 566 4089 1272 4285
002.png displayed 1656 4100 2440 4274
002.png label 2693 4132 2860 4246
002.png label 1247 4321 1396 4431
002.png label 1450 4321 1585 4428
002.png displayed 566 4463 1610 4673
002.png displayed 1663 4470 2675 4673
002.png label 2714 4485 2853 4620
003.png displayed 1396 1261 1941 1411
003.png label 2785 1293 2924 1382
003.png embedded 2622 1475 2714 1542
003.png embedded 862 1564 915 1621
003.png embedded 1621 1567 1710 1624
003.png embedded 2433 1564 2522 1624
003.png embedded 851 1639 990 1717
003.png displayed 912 1763 2433 1916
003.png embedded 598 1980 752 2052
003.png embedded 1111 1998 1161 2048
003.png embedded 1304 1984 1336 2045
003.png embedded 1428 1988 1489 2041
003.png embedded 1756 1991 1799 2045
003.png embedded 1877 1995 1920 2045
003.png embedded 1948 1988 2009 2045
003.png embedded 2091 1980 2191 2052
003.png embedded 2369 1984 2582 2055
003.png displayed 951 2265 2372 2397
003.png embedded 666 2493 844 2547
003.png embedded 983 2483 1265 2547
003.png embedded 1453 2476 1507 2547
003.png embedded 1663 2490 2045 2547
003.png embedded 424 2561 677 2636
003.png embedded 819 2568 980 2636
003.png embedded 1478 2568 1532 2625
003.png embedded 2511 2568 2924 2632
003.png embedded 577 2821 645 2875
003.png embedded 787 2825 880 2882
003.png embedded 1941 2821 2005 2878
003.png embedded 513 2907 598 2967
003.png displayed 1208 3120 1909 3263
003.png displayed 2465 3145 2650 3227
003.png displayed 2700 3152 2896 3231
003.png displayed 1421 3277 2148 3448
003.png displayed 2465 3316 2629 3395
003.png displayed 2700 3320 2892 3398
003.png displayed 1418 3455 2034 3544
003.png displayed 880 3847 1838 3989
003.png displayed 2379 3883 2650 3961
003.png displayed 2696 3886 2889 3957
003.png displayed 1179 4014 2216 4175
003.png displayed 2387 4054 2643 4128
003.png displayed 2693 4054 2889 4128
003.png displayed 1172 4192 2091 4331
003.png displayed 876 4339 1788 4463
004.png embedded 1193 563 2258 734
004.png embedded 2971 616 3024 666
004.png embedded 3067 616 3106 666
004.png embedded 634 801 737 848
004.png embedded 1688 741 2045 898
004.png embedded 2119 780 2169 848
004.png embedded 2689 777 2778 848
004.png embedded 2814 780 2885 844
004.png embedded 2928 791 3017 844
004.png embedded 1186 972 1592 1108
004.png embedded 2283 1022 2326 1083
004.png embedded 2415 1015 2461 1086
004.png embedded 2550 1012 2725 1090
004.png embedded 969 1140 1172 1200
004.png embedded 1496 1104 1959 1240
004.png embedded 1403 1250 1596 1411
004.png embedded 1685 1307 1735 1378
